id,audio_id,text
3570-5694-0013,../datasets/librispeech/clean/raw/000.wav,THIS DIFFERENTIATION IS FURTHERED BY THE INHERITANCE OF WEALTH AND THE CONSEQUENT INHERITANCE OF GENTILITY
4970-29093-0022,../datasets/librispeech/clean/raw/001.wav,HE KNEW HIS UNCLE WOULD BE GLAD TO HEAR THAT HE HAD AT LAST TURNED HIS THOUGHTS TO A PRACTICAL MATTER
4507-16021-0036,../datasets/librispeech/clean/raw/002.wav,FACTS FORM ONE OF THESE AND IDEAS THE OTHER
8455-210777-0022,../datasets/librispeech/clean/raw/003.wav,OF WHAT MISSUS NEVERBEND HAD GONE THROUGH IN PROVIDING BIRDS BEASTS AND FISHES NOT TO TALK OF TARTS AND JELLIES FOR THE DINNER OF THAT DAY NO ONE BUT MYSELF CAN HAVE ANY IDEA BUT IT MUST BE ADMITTED THAT SHE ACCOMPLISHED HER TASK WITH THOROUGH SUCCESS
1995-1837-0020,../datasets/librispeech/clean/raw/004.wav,THE YEARS OF THE DAYS OF HER DYING WERE TEN
8463-294828-0028,../datasets/librispeech/clean/raw/005.wav,I OPENED A LINE OF CREDIT SUFFICIENT TO COVER THE BABIRUSA AND CONSEIL AT MY HEELS I JUMPED INTO A CARRIAGE
237-126133-0014,../datasets/librispeech/clean/raw/006.wav,ASKED PHRONSIE IN INTENSE INTEREST SLIPPING DOWN OUT OF POLLY'S ARMS AND CROWDING UP CLOSE TO JASPER'S SIDE
5105-28241-0000,../datasets/librispeech/clean/raw/007.wav,HER SEA GOING QUALITIES WERE EXCELLENT AND WOULD HAVE AMPLY SUFFICED FOR A CIRCUMNAVIGATION OF THE GLOBE
61-70970-0001,../datasets/librispeech/clean/raw/008.wav,THERE BEFELL AN ANXIOUS INTERVIEW MISTRESS FITZOOTH ARGUING FOR AND AGAINST THE SQUIRE'S PROJECT IN A BREATH
4446-2275-0015,../datasets/librispeech/clean/raw/009.wav,HE PULLED UP A WINDOW AS IF THE AIR WERE HEAVY
2830-3980-0040,../datasets/librispeech/clean/raw/010.wav,THE GREETING OF THE APOSTLE IS REFRESHING
6930-76324-0013,../datasets/librispeech/clean/raw/011.wav,IT CAN'T HURT ANYTHING I'M SURE FOR WE WON'T DISTURB THINGS AT ALL
1320-122617-0000,../datasets/librispeech/clean/raw/012.wav,NOTWITHSTANDING THE HIGH RESOLUTION OF HAWKEYE HE FULLY COMPREHENDED ALL THE DIFFICULTIES AND DANGER HE WAS ABOUT TO INCUR
672-122797-0010,../datasets/librispeech/clean/raw/013.wav,REJOICE IN THY GROWTH SAID THE SUNBEAMS
1188-133604-0039,../datasets/librispeech/clean/raw/014.wav,IT HAS NO BEAUTY WHATSOEVER NO SPECIALTY OF PICTURESQUENESS AND ALL ITS LINES ARE CRAMPED AND POOR
1580-141083-0030,../datasets/librispeech/clean/raw/015.wav,MISTER SOAMES WAS SOMEWHAT OVERWHELMED BY THIS FLOOD OF INFORMATION
